event_id,match_date,tournament_name,tournament_importance,ground_type,home_player_id,home_player_name,away_player_id,away_player_name,winner,match_format,month,day,home_advantage,home_odds,away_odds,odds_ratio,h2h_home_wins,h2h_away_wins,h2h_total,h2h_home_win_rate,h2h_confidence_lower,h2h_confidence_upper,home_vote_percentage,away_vote_percentage,home_age,home_height,home_weight,home_plays,home_turned_pro,home_prize_total,home_country,home_official_rank,home_live_rank,home_utr_rank,home_official_rank_norm,home_live_rank_norm,home_utr_rank_norm,home_win_rate_hard,home_win_rate_clay,home_win_rate_grass,home_win_rate_carpet,home_ace_per_match,home_double_fault_per_match,home_first_serve_percentage,home_break_point_conversion,home_return_points_won_percentage,home_total_matches,home_win_rate,home_recent_form,home_surface_performance,home_avg_opponent_rank,home_tiebreak_win_rate,home_recent_momentum,away_age,away_height,away_weight,away_plays,away_turned_pro,away_prize_total,away_country,away_official_rank,away_live_rank,away_utr_rank,away_official_rank_norm,away_live_rank_norm,away_utr_rank_norm,away_win_rate_hard,away_win_rate_clay,away_win_rate_grass,away_win_rate_carpet,away_ace_per_match,away_double_fault_per_match,away_first_serve_percentage,away_break_point_conversion,away_return_points_won_percentage,away_total_matches,away_win_rate,away_recent_form,away_surface_performance,away_avg_opponent_rank,away_tiebreak_win_rate,away_recent_momentum,rank_difference,age_difference,height_difference,ace_per_match_difference,double_fault_per_match_difference,first_serve_percentage_difference,break_point_conversion_difference,return_points_won_percentage_difference,surface_performance_difference,recent_form_difference,momentum_difference
14762085,2025-10-09,"Shanghai, China",0.4,Hardcourt outdoor,170946,Zizou Bergs,14882,Novak Djokovic,0,3,10,9,0.05,3.5,1.3,2.692307692307692,0,1,1,0.0,0.0,0.7934567085261071,0.1737093352192362,0.8262906647807637,,1.85,88.0,right-handed,2017,2305868,Belgium,44,39,60,0.20902181487755908,0.21442838668808284,0.19629610596339608,0.5,0.5,0.5,0.5,7.313652130454418,1.4598059438558022,0.6879574251081672,0.560219354320374,0.3681360783503102,10,1.0,1.0,1.0,47.27777777777778,0.25,0.45666666666666667,,1.88,77.0,right-handed,2003,165468826,Serbia,5,5,1,0.383224293337255,0.383224293337255,1.0,0.5,0.5,0.5,0.5,6.344241654342987,1.1874374930054017,0.605185441971496,0.4780814894984332,0.33393040276850006,10,1.0,1.0,1.0,34.15,0.2,0.45666666666666667,-39,0,0.029999999999999805,-0.969410476111431,-0.2723684508504005,-0.08277198313667111,-0.08213786482194074,-0.03420567558181015,0.0,-0.09456585648633209,0.006852910774883536
14762041,2025-10-10,"Shanghai, China",0.4,Hardcourt outdoor,63606,Arthur Rinderknech,192013,Felix Auger-Aliassime,1,3,10,10,0.05,3.5,1.3,2.692307692307692,1,2,3,0.3333333333333333,0.061490315276160515,0.7923450448735121,0.18391890190152374,0.8160810980984763,,1.96,88.0,right-handed,,4358994,France,54,37,53,0.20044161109087177,0.21687655667383804,0.20119542622303027,0.5,0.5,0.5,0.5,6.655309333841584,3.219809980370459,0.6249504525267674,0.4006192261030843,0.4234699344549502,10,1.0,1.0,1.0,52.7,0.6666666666666666,0.45666666666666667,,1.93,88.0,right-handed,2017,14972516,Canada,13,13,19,0.28050889359956055,0.28050889359956055,0.253521478030654,0.5,0.5,0.5,0.5,4.285003528055906,1.4490463968288698,0.7476978097537118,0.3736828666813866,0.2983486980716256,10,1.0,1.0,1.0,25.944444444444443,0.5,0.45666666666666667,-41,0,-0.030000000000000027,-2.3703058057856774,-1.7707635835415894,0.12274735722694441,-0.026936359421697698,-0.12512123638332456,0.0,-0.05500447274792797,-0.008938142738873611
14762042,2025-10-10,"Shanghai, China",0.4,Hardcourt outdoor,163504,Daniil Medvedev,201239,Alex de Minaur,1,3,10,10,0.05,2.63,1.5,1.7533333333333332,6,4,10,0.6,0.3126695474501863,0.8318224187964901,0.35990227515651246,0.6400977248434876,,1.98,83.0,right-handed,2014,41144452,Russia,18,14,16,0.25704484358604845,0.2747964402379244,0.2650699754534338,0.5,0.5,0.5,0.5,4.690351018356941,1.3339112966473714,0.6383282221077161,0.4138045845295716,0.3626599013256381,10,1.0,1.0,1.0,34.9,0.3333333333333333,0.45666666666666667,,1.83,69.0,right-handed,2015,17115533,Australia,7,7,9,0.3394536660667255,0.3394536660667255,0.312771272649591,0.5,0.5,0.5,0.5,5.365029579952095,3.446734065323455,0.578451838692114,0.5830785461576777,0.364475735386391,10,1.0,1.0,1.0,25.11111111111111,1.0,0.45666666666666667,-11,0,-0.1499999999999999,0.6746785615951545,2.112822768676083,-0.059876383415602086,0.16927396162810615,0.0018158340607529189,0.0,-0.05116679928264245,0.02022824878233387
14850711,2025-10-09,"Wuhan, China",0.4,Hardcourt outdoor,63957,Belinda Bencic,228272,Iga Swiatek,0,3,10,9,0.05,5.5,1.1400000000000001,4.824561403508771,1,6,7,0.14285714285714285,0.02567895594897479,0.5131345033190299,0.12528975428836348,0.8747102457116366,,1.75,63.0,right-handed,2012,12715993,Switzerland,15,14,22,0.26968351175578803,0.2747964402379244,0.24443647588626344,0.5,0.5,0.5,0.5,4.230046522565559,1.1756910314234528,0.5563382280001915,0.5483894819334925,0.2924426210450672,10,1.0,1.0,1.0,35.611111111111114,0.3333333333333333,0.45666666666666667,,1.76,,right-handed,2016,37290149,Poland,2,2,1,0.5906161091496412,0.5906161091496412,1.0,0.5,0.5,0.5,0.5,6.2446589713203835,2.5015904041723838,0.5810881616472857,0.516252683468074,0.31335997888959954,10,1.0,1.0,1.0,21.15,0.5,0.45666666666666667,-13,0,0.010000000000000009,2.014612448754825,1.325899372748931,0.024749933647094213,-0.032136798465418503,0.020917357844532358,0.0,0.09909451839332872,0.03216849037086428
14851917,2025-10-09,"Wuhan, China",0.4,Hardcourt outdoor,19607,Shuai Zhang,264983,Coco Gauff,0,3,10,9,0.05,1.0,1.0,1.0,0,4,4,0.0,0.0,0.48990002040399916,0.13814819777569343,0.8618518022243066,,1.77,65.0,right-handed,2006,10283507,China,142,119,61,0.1679027934036008,0.1730366207249175,0.19566125609358018,0.5,0.5,0.5,0.5,7.51438800397371,1.0977954418116331,0.7468246951377868,0.4975851814499025,0.32329507165999116,10,1.0,1.0,1.0,87.58333333333333,0.0,0.45666666666666667,,1.75,,right-handed,2018,24767265,USA,3,3,4,0.4765053580405043,0.4765053580405043,0.41905978419640516,0.5,0.5,0.5,0.5,7.342941917542369,1.6014635643455868,0.5881997109902918,0.4152875064601389,0.2609455684250892,10,1.0,1.0,1.0,28.5,0.0,0.45666666666666667,-139,0,-0.020000000000000018,-0.17144608643134074,0.5036681225339537,-0.15862498414749504,-0.08229767498976359,-0.06234950323490196,0.0,0.054146975545720455,-0.06558710399297529
14857839,2025-10-10,"Wuhan, China",0.4,Hardcourt outdoor,72376,Katerina Siniakova,44834,Jessica Pegula,0,3,10,10,0.05,2.75,1.44,1.9097222222222223,1,5,6,0.16666666666666666,0.030052585871730285,0.563509436563646,0.13497098123903362,0.8650290187609664,,1.74,69.0,right-handed,2013,12688785,Czechia,62,45,20,0.19504072351152257,0.20804456358819232,0.25026701779259936,0.5,0.5,0.5,0.5,6.778449492498019,3.2897207873676395,0.5708034392489283,0.3174621391979115,0.3503718817222692,10,1.0,1.0,1.0,73.14285714285714,0.0,0.45666666666666667,,1.7,70.0,right-handed,2012,17801463,USA,6,5,10,0.3581970477838151,0.383224293337255,0.30279310656411385,0.5,0.5,0.5,0.5,6.047941150716315,2.453642619809286,0.6306834018742347,0.5735048420804405,0.3975914623751817,10,1.0,1.0,1.0,23.0,0.5,0.45666666666666667,-56,0,-0.040000000000000036,-0.7305083417817047,-0.8360781675583535,0.05987996262530637,0.256042702882529,0.04721958065291254,0.0,-0.042454671506117925,0.12973353990433933
14859155,2025-10-10,"Wuhan, China",0.4,Hardcourt outdoor,157754,Aryna Sabalenka,186312,Elena Rybakina,1,3,10,10,0.05,1.8,2.0,0.9,5,5,10,0.5,0.2365895936154873,0.7634104063845127,0.7885193621867882,0.21148063781321186,,1.82,,right-handed,2015,36801453,Belarus,1,1,2,1.0,1.0,0.5906161091496412,0.5,0.5,0.5,0.5,7.61060444659548,1.3111568578334682,0.7197316525522708,0.5441282089883468,0.2999930687112093,10,1.0,1.0,1.0,22.0,1.0,0.45666666666666667,,1.84,,right-handed,2016,16440709,Kazakhstan,9,9,5,0.312771272649591,0.312771272649591,0.383224293337255,0.5,0.5,0.5,0.5,3.5649865398501586,3.0714035879972394,0.5804375338777339,0.5499948646561436,0.25706221545676483,10,1.0,1.0,1.0,23.77777777777778,0.5,0.45666666666666667,8,0,0.020000000000000018,-4.0456179067453215,1.7602467301637712,-0.1392941186745369,0.005866655667796761,-0.04293085325444446,0.0,0.1255747238192234,-0.04740495392768951
14860023,2025-10-10,"Wuhan, China",0.4,Hardcourt outdoor,37508,Laura Siegemund,264983,Coco Gauff,0,3,10,10,0.05,5.5,1.1400000000000001,4.824561403508771,1,2,3,0.3333333333333333,0.061490315276160515,0.7923450448735121,0.1431987621325081,0.856801237867492,,1.68,62.0,right-handed,2006,6888272,Germany,57,39,83,0.19829265000301946,0.21442838668808284,0.1845413202523812,0.5,0.5,0.5,0.5,5.959230408532701,2.0234711214096,0.712240824603309,0.49067079596857943,0.3218937923375967,10,1.0,1.0,1.0,40.0,0.75,0.45666666666666667,,1.75,,right-handed,2018,24767265,USA,3,3,4,0.4765053580405043,0.4765053580405043,0.41905978419640516,0.5,0.5,0.5,0.5,3.9395030598226652,3.4627982373667416,0.5529232309552131,0.5054609624715498,0.3009506076174986,10,1.0,1.0,1.0,28.5,0.0,0.45666666666666667,-54,0,0.07000000000000006,-2.0197273487100356,1.4393271159571417,-0.15931759364809583,0.014790166502970381,-0.020943184720098096,0.0,0.0016709116950135439,-0.07491461577482567
14859803,2025-10-10,"Wuhan, China",0.4,Hardcourt outdoor,69208,Jasmine Paolini,228272,Iga Swiatek,1,3,10,10,0.05,5.0,1.17,4.273504273504273,1,7,8,0.125,0.02241690886329618,0.4708948057698615,0.20142244916567886,0.7985775508343211,,1.63,,right-handed,2012,11836169,Italy,8,8,9,0.3247342047137871,0.3247342047137871,0.312771272649591,0.5,0.5,0.5,0.5,4.2580751964233565,2.5588303482130224,0.6199320550856741,0.4506143177606284,0.35807600799481076,10,1.0,1.0,1.0,20.8,1.0,0.45666666666666667,,1.76,,right-handed,2016,37290149,Poland,2,2,1,0.5906161091496412,0.5906161091496412,1.0,0.5,0.5,0.5,0.5,7.769300156904332,1.6542106658969848,0.5955071610398294,0.42051754855681095,0.3104286465341941,10,1.0,1.0,1.0,21.15,0.5,0.45666666666666667,-6,0,0.13000000000000012,3.511224960480975,-0.9046196823160375,-0.02442489404584469,-0.03009676920381743,-0.047647361460616655,0.0,-0.08490882306243841,0.16984797208357172
14807111,2025-10-09,"Valencia, Spain",0.4,Red clay,16822,Albert Ramos-Vinolas,105607,Jan Choinski,0,3,10,9,0.05,2.63,1.44,1.8263888888888888,0,1,1,0.0,0.0,0.7934567085261071,0.2885682574916759,0.7114317425083241,,1.88,76.0,left-handed,2007,9690512,Spain,352,354,199,0.1456954743657041,0.14557530598044857,0.158899024892502,0.5,0.5,0.5,0.5,4.029562156926872,3.2026323674044566,0.6953270505211008,0.3289599728001398,0.3925505842623714,10,1.0,1.0,1.0,277.55,0.3333333333333333,0.45666666666666667,,1.96,88.0,right-handed,2016,840013,United Kingdom,158,152,137,0.1649458679909079,0.1660059485807187,0.16891946317548542,0.5,0.5,0.5,0.5,6.119566419658417,2.557028659020108,0.6630562880709451,0.33158726165621993,0.43689413517493403,10,1.0,1.0,1.0,190.5,0.3333333333333333,0.45666666666666667,-194,0,0.08000000000000007,2.0900042627315454,-0.6456037083843484,-0.0322707624501557,0.0026272888560801566,0.044343550912562646,0.0,-0.1340758486926259,0.06945466128824618
